Genre,Rank,RatingTomatometer,Title,No. of Reviews
Ação e Aventura,1.0,96%,Black Panther (2018),525
Ação e Aventura,3.0,97%,Mission: Impossible - Fallout (2018),437
Ação e Aventura,4.0,97%,Mad Max: Fury Road (2015),434
Ação e Aventura,5.0,97%,Spider-Man: Into the Spider-Verse (2018),393
Ação e Aventura,8.0,97%,Coco (2017),354
Ação e Aventura,12.0,100%,Seven Samurai (Shichinin no Samurai) (1956),88
Ação e Aventura,14.0,97%,Metropolis (1927),135
Ação e Aventura,15.0,95%,Soul (2020),344
Ação e Aventura,16.0,100%,The Adventures of Robin Hood (1938),48
Ação e Aventura,18.0,93%,Incredibles 2 (2018),387
Ação e Aventura,19.0,98%,Zootopia (2016),298
Ação e Aventura,20.0,98%,King Kong (1933),66
Ação e Aventura,24.0,96%,The Bridge on the River Kwai (1957),93
Ação e Aventura,25.0,98%,Jaws (1975),95
Ação e Aventura,26.0,98%,Up (2009),298
Ação e Aventura,29.0,100%,The Treasure of the Sierra Madre (1948),52
Ação e Aventura,34.0,96%,The 39 Steps (1935),53
Ação e Aventura,36.0,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),332
Ação e Aventura,38.0,97%,The Hurt Locker (2009),289
Ação e Aventura,39.0,98%,Apocalypse Now (1979),96
Ação e Aventura,42.0,96%,The LEGO Movie (2014),253
Ação e Aventura,44.0,95%,Moana (2016),283
Ação e Aventura,47.0,97%,Kubo and the Two Strings (2016),226
Ação e Aventura,48.0,99%,Wolfwalkers (2020),162
Ação e Aventura,49.0,99%,Goldfinger (1964),69
Ação e Aventura,51.0,100%,Stagecoach (1939),45
Ação e Aventura,53.0,95%,WALL-E (2008),260
Ação e Aventura,54.0,96%,Paths of Glory (1957),68
Ação e Aventura,55.0,96%,The French Connection (1971),85
Ação e Aventura,57.0,100%,The Terminator (1984),65
Ação e Aventura,58.0,97%,Hunt for the Wilderpeople (2016),206
Ação e Aventura,61.0,98%,The Princess Bride (1987),80
Ação e Aventura,62.0,100%,The Taking of Pelham One Two Three (1974),43
Ação e Aventura,64.0,95%,The Peanut Butter Falcon (2019),220
Ação e Aventura,65.0,97%,Aliens (1986),78
Ação e Aventura,68.0,95%,True Grit (2010),275
Ação e Aventura,75.0,97%,Badlands (1974),59
Ação e Aventura,76.0,97%,Chicken Run (2000),173
Ação e Aventura,77.0,100%,Stalker (1979),41
Ação e Aventura,83.0,96%,The African Queen (1951),46
Ação e Aventura,84.0,97%,From Russia With Love (1964),61
